Tree,Depth,Num_Nodes
1,16,227
2,15,229
3,17,227
4,14,223
5,14,227
6,16,229
7,17,221
8,16,227
9,18,227
10,17,223
11,15,225
12,18,227
13,15,227
14,14,225
15,18,227
16,13,225
17,16,225
18,13,227
19,14,227
20,17,221
21,16,225
22,14,227
23,15,225
24,14,227
25,17,229
26,16,227
27,15,227
28,13,227
29,18,225
30,17,225
31,16,229
32,15,227
33,15,229
34,16,227
35,20,225
36,17,225
37,16,223
38,11,223
39,13,227
40,17,225
41,15,219
42,12,225
43,18,217
44,15,227
45,13,227
46,16,229
47,15,227
48,15,225
49,17,229
50,15,227
51,18,229
52,16,229
53,17,229
54,14,225
55,15,217
56,15,225
57,15,227
58,15,225
59,14,227
60,15,227
61,15,225
62,12,227
63,14,225
64,16,229
65,12,225
66,15,229
67,15,227
68,14,217
69,16,223
70,15,221
71,18,227
72,15,227
73,17,225
74,12,229
75,15,227
76,14,225
77,15,223
78,17,221
79,16,225
80,18,217
81,17,227
82,16,225
83,16,225
84,18,223
85,15,221
86,17,221
87,17,223
88,17,227
89,14,227
90,21,229
91,13,227
92,13,227
93,17,227
94,13,223
95,13,223
96,15,223
97,18,223
98,14,219
99,14,227
100,17,225
101,14,229
102,17,227
103,13,229
104,13,229
105,13,227
106,18,227
107,14,227
108,14,229
109,14,225
110,13,227
111,14,227
112,15,229
113,15,229
114,15,225
115,14,221
116,17,219
117,15,225
118,16,223
119,20,229
120,15,225
121,16,227
122,13,225
123,14,223
124,13,227
125,15,223
126,15,229
127,15,229
128,14,223
129,14,227
130,14,221
131,16,227
132,16,227
133,15,225
134,17,227
135,15,225
136,15,223
137,14,223
138,16,223
139,14,227
140,20,227
141,16,229
142,14,225
143,14,223
144,12,225
145,15,227
146,12,223
147,14,227
148,15,223
149,14,227
150,16,227
151,17,227
152,13,227
153,14,223
154,14,225
155,16,225
156,16,229
157,17,227
158,14,227
159,14,225
160,17,229
161,14,223
162,14,219
163,17,223
164,17,227
165,16,223
166,15,227
167,16,225
168,15,227
169,17,229
170,16,227
171,15,229
172,15,227
173,15,229
174,14,223
175,13,227
176,14,223
177,14,229
178,14,225
179,16,227
180,15,223
181,13,227
182,14,229
183,13,225
184,14,223
185,15,229
186,16,223
187,13,227
188,17,219
189,15,227
190,19,229
191,17,229
192,17,227
193,15,225
194,13,229
195,15,227
196,17,227
197,16,229
198,15,229
199,18,225
200,18,225
